TEAM_NAME,SEASON,WINS,UNDERPERFORMANCE,DELTA_WR,DELTA_INACTIVE_RATE,TANK_PROB,GROUND_TRUTH
Phoenix Suns,2017-18,21,-7.5,-0.1746499631540162,0.0950626381724392,0.9416200910238887,
Memphis Grizzlies,2017-18,22,-15.5,-0.1675824175824176,0.1112637362637362,0.9211681474562158,✓
New York Knicks,2017-18,29,-1.5,-0.128960943257185,0.0969786293294031,0.18926938394265042,
Washington Wizards,2017-18,43,-5.5,-0.1789473684210526,0.0304561403508771,0.08605939891686451,
Golden State Warriors,2017-18,58,-9.5,-0.175287356321839,0.0873563218390804,0.017176289559326523,
New Orleans Pelicans,2018-19,33,-12.5,-0.1363301400147383,-0.0011790714812085,0.8785221906317543,
Boston Celtics,2018-19,49,-10.0,-0.1379310344827586,0.050287356321839,0.5996248917254695,
Los Angeles Lakers,2018-19,37,-11.5,-0.1312280701754385,0.2113684210526316,0.4942714320768515,
Washington Wizards,2018-19,32,-13.5,-0.0804597701149425,-0.0517241379310344,0.4145940764941217,
Oklahoma City Thunder,2018-19,49,0.5,-0.1691228070175439,-0.0021052631578947,0.20658458245072317,
Denver Nuggets,2018-19,54,6.5,-0.0842105263157895,-0.0005614035087719,0.19041623944387226,
Minnesota Timberwolves,2018-19,36,-5.5,-0.1136842105263157,0.0137543859649122,0.13182098111032586,
Charlotte Hornets,2018-19,39,3.5,0.0063157894736842,0.0829473684210526,0.058362371210347895,
Dallas Mavericks,2018-19,33,-2.5,-0.1761403508771929,-0.143578947368421,0.040439264067738484,
Philadelphia 76ers,2018-19,51,-2.5,-0.0545977011494253,-0.346551724137931,0.03846502573989089,
Indiana Pacers,2018-19,48,0.5,-0.2385057471264367,0.0494252873563218,0.03326518463971177,
Golden State Warriors,2018-19,57,-5.5,-0.079298245614035,0.0663859649122807,0.0187759346196838,
Toronto Raptors,2018-19,58,2.5,-0.0766396462785555,-0.3444362564480472,0.0059276056322011715,
Golden State Warriors,2019-20,15,-32.5,0.0818181818181818,-0.2418181818181818,0.9981011388524937,
Minnesota Timberwolves,2019-20,19,-16.5,-0.0291595197255574,-0.3622641509433962,0.9803907382732506,
Chicago Bulls,2019-20,22,-11.5,-0.0454545454545454,0.1418181818181818,0.8821411583425247,
Detroit Pistons,2019-20,20,-17.5,-0.2222222222222222,0.0666666666666666,0.8325622946947973,
Brooklyn Nets,2019-20,35,-8.5,0.054617676266137,0.2405163853028798,0.46518018136516265,
New Orleans Pelicans,2019-20,30,-7.5,-0.0064171122994652,-0.0096256684491978,0.46271081145535886,
Denver Nuggets,2019-20,46,-7.0,-0.2464646464646465,-0.028080808080808,0.4001181037600245,
Washington Wizards,2019-20,25,-2.0,-0.1142005958291956,-0.0903674280039722,0.3894323001102647,
Utah Jazz,2019-20,44,-9.5,-0.2222222222222222,-0.0666666666666666,0.35667018012483576,
Philadelphia 76ers,2019-20,43,-11.5,-0.1181818181818181,-0.1256565656565656,0.33588601565636694,
Boston Celtics,2019-20,48,-0.5,-0.1481481481481481,-0.0148148148148148,0.3317622443475842,
